变量名,变量描述,数据格式
Administrative,主页访问数,Number
Administrative Duration,主页访问时长,Number
Informational,信息页访问数,Number
Informational Duration,信息页访问时长,Number
ProductRelated,商品页访问数,Number
ProductRelated Duration,商品页访问时长,Number
BounceRates,跳出率，指通过该页面进入网站并在不触发任何其他任务的情况下退出网站的访问者百分比。,Number
ExitRates,退出率，在该特定页面结束网站浏览量百分比。,Number
PageValues,网页价值，网页价值是用户在登陆目标页面或完成电子商务交易（或两者）之前访问的网页的平均值。,Number
SpecialDay,特殊日，此值表示浏览日期与更可能完成交易的特殊日期或假日（例如母亲节或情人节）的接近程度。,Number
Month,月份，浏览网页的月份。,String
OperatingSystems,操作系统，表示用户在查看页面时所在的操作系统。,Integer
Browser,浏览器，表示用户用来查看页面的浏览器。,Integer
Region,地区，表示用户位于哪个区域。,Integer
TrafficType,流量类型，表示用户归类为哪种类型的流量。,Integer
,,
VisitorType,访问者类型，表示访问者是“新访问者”，“回访者”还是“其他”。,String
,,
Weekend。,周末，表示用户操作是否在周末,Factor
,,
Revenue,购买，表示用户是否完成购买。,Factor
